"rgi_id","o1region","o2region","glims_id","anlys_id","subm_id","src_date","cenlon","cenlat","utm_zone","area_km2","primeclass","conn_lvl","surge_type","term_type","glac_name","is_rgi6","termlon","termlat","zmin_m","zmax_m","zmed_m","zmean_m","slope_deg","aspect_deg","aspect_sec","dem_source","lmax_m"
"RGI2000-v7.0-G-01-04212","01","01-02","G208458E62631N",396663,624,"2010-09-12T00:00:00",-151.5423862919708,62.630843,5,0.162706747947176,0,0,0,9,"",1,-151.54746845607372,62.63025546593526,1209.844,1712.3839,1366.9728,1381.6864,32.12541,303.8180618286133,8,"COPDEM30",677
"RGI2000-v7.0-G-01-04213","01","01-02","G208501E62636N",396673,624,"2010-09-12T00:00:00",-151.5143673068719,62.628689,5,2.049583888943703,0,0,0,9,"",1,-151.51465976017485,62.61655327840807,948.66034,1888.3818,1584.381,1461.4175,18.928532,212.91720581054688,6,"COPDEM30",3423
"RGI2000-v7.0-G-01-04214","01","01-02","G208514E62630N",396699,624,"2010-09-12T00:00:00",-151.48573036417912,62.6300805,5,0.157998418268419,0,0,0,9,"",1,-151.47865611973353,62.63128119854896,1414.6583,1666.1888,1548.6566,1542.8284,22.454481,99.98779,3,"COPDEM30",710
"RGI2000-v7.0-G-01-04215","01","01-02","G208510E62620N",396696,624,"2010-09-12T00:00:00",-151.49145063957053,62.6195245,5,0.87678764372144,0,0,0,9,"",1,-151.4988797833861,62.620527108601195,1300.7963,1627.6654,1416.6841,1428.6659,13.925528,284.1282424926758,7,"COPDEM30",1296
"RGI2000-v7.0-G-01-04216","01","01-02","G208546E62620N",396714,624,"2010-09-12T00:00:00",-151.4590774742138,62.619123,5,1.1499693370188,0,0,0,9,"",1,-151.45407766395743,62.613069793519486,1264.1772,1696.1368,1431.5668,1453.2318,14.524566,210.71885681152344,6,"COPDEM30",2070
"RGI2000-v7.0-G-01-04217","01","01-02","G208554E62626N",396716,624,"2010-09-12T00:00:00",-151.446160795659,62.626510499999995,5,0.127669773768201,0,0,0,9,"",1,-151.45152216570898,62.627124594282684,1492.0631,1716.5808,1614.5717,1610.4978,26.753147,314.13940811157227,8,"COPDEM30",691
"RGI2000-v7.0-G-01-04218","01","01-02","G208565E62628N",396722,624,"2010-09-12T00:00:00",-151.43695010384616,62.6280535,5,0.219372361997329,0,0,0,9,"",1,-151.43725885486188,62.63019360971883,1470.2373,1754.6388,1605.7378,1609.2479,29.48224,358.22764909267426,1,"COPDEM30",479
"RGI2000-v7.0-G-01-04219","01","01-02","G208578E62632N",396731,624,"2010-09-12T00:00:00",-151.418610442564,62.632545,5,0.993649798943634,0,0,0,9,"",1,-151.42033672914988,62.640755087495535,995.51385,1620.9459,1313.4601,1283.0802,21.705069,0.9650318,1,"COPDEM30",2084
"RGI2000-v7.0-G-01-04220","01","01-02","G208602E62630N",396744,624,"2010-09-12T00:00:00",-151.39740790323884,62.630300500000004,5,0.341985095720233,0,0,0,9,"",1,-151.3914636505782,62.632368364433106,1116.008,1424.2767,1222.3689,1227.8202,18.612059,31.144049,2,"COPDEM30",851
"RGI2000-v7.0-G-01-04221","01","01-02","G208605E62610N",396746,624,"2010-09-12T00:00:00",-151.39660900351475,62.609625,5,0.248663942770844,0,0,0,9,"",1,-151.38532321009362,62.610705429266844,1168.4415,1447.1865,1305.9036,1296.2179,19.03998,34.409554,2,"COPDEM30",1029
"RGI2000-v7.0-G-01-04222","01","01-02","G208614E62608N",396752,624,"2010-09-12T00:00:00",-151.38670016382255,62.607789499999996,5,0.246056984134094,0,0,0,9,"",1,-151.37741565242348,62.60891185902308,1112.2988,1493.1694,1280.7881,1275.146,29.256922,15.519164,1,"COPDEM30",1186
"RGI2000-v7.0-G-01-04223","01","01-02","G208608E62602N",396749,624,"2010-09-12T00:00:00",-151.39187346794876,62.602586,5,0.184317901455653,0,0,0,9,"",1,-151.38454160988414,62.60080235895125,1366.2865,1659.4498,1535.2135,1524.1005,23.8797,117.303,4,"COPDEM30",751
